epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5113.21,1.48172,1.3769,1.98339,0.74318,0.87552,0.82539,0.68364,1.35724,1.0732,1.9049,0.000643101,0.000643101,0.000643101
43,5233.58,1.49073,1.37927,1.9905,0.7537,0.86018,0.81924,0.66988,1.47991,1.06112,1.94668,0.000628101,0.000628101,0.000628101
44,5354.01,1.48154,1.40129,1.98758,0.7727,0.84807,0.83152,0.68581,1.38103,1.06536,1.90824,0.000612981,0.000612981,0.000612981
45,5474.44,1.47653,1.3589,1.98112,0.76,0.84875,0.82898,0.68801,1.36382,1.0661,1.90967,0.000597754,0.000597754,0.000597754
46,5595.06,1.46165,1.35442,1.98124,0.75939,0.86745,0.81879,0.6773,1.38353,1.06496,1.91618,0.000582435,0.000582435,0.000582435
47,5715.32,1.4563,1.33694,1.97758,0.7739,0.86191,0.81241,0.68029,1.32655,1.05386,1.89713,0.00056704,0.00056704,0.00056704
48,5835.88,1.44735,1.29443,1.96734,0.7776,0.8444,0.8234,0.6849,1.36482,1.0465,1.90628,0.000551584,0.000551584,0.000551584
49,5955.83,1.44436,1.30965,1.97501,0.78075,0.86479,0.83272,0.69188,1.32591,1.0489,1.89108,0.000536081,0.000536081,0.000536081
50,6076.88,1.44606,1.31262,1.96551,0.75002,0.86935,0.82036,0.685,1.32508,1.06618,1.88581,0.000520548,0.000520548,0.000520548
51,6197.28,1.44339,1.33088,1.9773,0.75528,0.89363,0.83956,0.69838,1.35479,1.02448,1.90602,0.000505,0.000505,0.000505
52,6317.96,1.43169,1.2806,1.9611,0.76997,0.85839,0.83291,0.69444,1.31668,1.02945,1.89333,0.000489452,0.000489452,0.000489452
53,6437.98,1.41132,1.27719,1.96352,0.78224,0.87979,0.84429,0.7082,1.33538,1.01374,1.89925,0.000473919,0.000473919,0.000473919
54,6558.76,1.41592,1.27677,1.9585,0.7793,0.87781,0.84048,0.70265,1.3118,0.99062,1.88557,0.000458416,0.000458416,0.000458416
55,6679.09,1.40671,1.24757,1.94512,0.77614,0.88558,0.83802,0.70171,1.32993,0.99752,1.89427,0.00044296,0.00044296,0.00044296
56,6799.73,1.42346,1.27327,1.96639,0.78592,0.88668,0.83745,0.70386,1.29605,0.97932,1.8824,0.000427565,0.000427565,0.000427565
57,6920.29,1.40141,1.23193,1.94286,0.7777,0.87573,0.83923,0.70721,1.30521,0.99044,1.88207,0.000412246,0.000412246,0.000412246
58,7040.68,1.38895,1.25649,1.94473,0.79633,0.86755,0.84366,0.70634,1.33262,0.97131,1.89424,0.000397019,0.000397019,0.000397019
59,7161.85,1.39244,1.23007,1.94282,0.77054,0.88619,0.83709,0.70287,1.31856,0.98465,1.88464,0.000381899,0.000381899,0.000381899
60,7282.08,1.39733,1.22094,1.94329,0.78302,0.88598,0.84946,0.7169,1.29437,0.97275,1.87368,0.000366899,0.000366899,0.000366899
61,7402.81,1.37405,1.20394,1.93456,0.78246,0.88843,0.84053,0.70902,1.29887,0.96735,1.87605,0.000352037,0.000352037,0.000352037
62,7523.11,1.37568,1.18472,1.93084,0.76478,0.90543,0.83509,0.70537,1.28965,0.9725,1.87492,0.000337325,0.000337325,0.000337325
63,7643.35,1.35522,1.19194,1.92463,0.78145,0.88925,0.83384,0.7049,1.27673,0.98713,1.86596,0.000322778,0.000322778,0.000322778
64,7763.59,1.35993,1.19859,1.93758,0.7798,0.88409,0.83694,0.70792,1.27168,0.96597,1.8642,0.000308412,0.000308412,0.000308412
65,7884.18,1.34374,1.15518,1.92594,0.79634,0.86694,0.84586,0.71398,1.26721,0.96537,1.86211,0.000294239,0.000294239,0.000294239
66,8004.4,1.35838,1.1742,1.93522,0.77606,0.89863,0.85023,0.71708,1.26967,0.94794,1.86472,0.000280275,0.000280275,0.000280275
67,8124.92,1.3508,1.15522,1.92517,0.78734,0.88013,0.84858,0.71827,1.26877,0.95699,1.86371,0.000266532,0.000266532,0.000266532
68,8245.51,1.33848,1.14017,1.91445,0.78426,0.89466,0.84276,0.71434,1.26291,0.95086,1.86247,0.000253024,0.000253024,0.000253024
69,8366.03,1.3333,1.14193,1.92748,0.78582,0.86941,0.84126,0.70658,1.29519,0.95401,1.87534,0.000239766,0.000239766,0.000239766
70,8486.15,1.32211,1.11495,1.91056,0.7916,0.87327,0.84469,0.71154,1.29103,0.95471,1.87317,0.000226769,0.000226769,0.000226769
