epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3495.52,1.54223,1.55861,1.95753,0.75947,0.82135,0.80451,0.67092,1.34819,1.19564,1.84471,0.000643101,0.000643101,0.000643101
43,3578.33,1.54602,1.54427,1.96836,0.7561,0.82023,0.81214,0.67448,1.38045,1.18643,1.85756,0.000628101,0.000628101,0.000628101
44,3661.32,1.52525,1.54417,1.95705,0.75061,0.80579,0.81241,0.67888,1.34805,1.1784,1.84538,0.000612981,0.000612981,0.000612981
45,3743.64,1.53312,1.5181,1.95055,0.75599,0.81896,0.8045,0.67243,1.34941,1.16918,1.84532,0.000597754,0.000597754,0.000597754
46,3826.58,1.52178,1.52318,1.95056,0.74979,0.83266,0.7987,0.66008,1.40367,1.17008,1.8674,0.000582435,0.000582435,0.000582435
47,3909.41,1.49394,1.48542,1.93797,0.73293,0.83574,0.81145,0.67804,1.34605,1.13743,1.84699,0.00056704,0.00056704,0.00056704
48,3992.08,1.49302,1.45573,1.93806,0.73875,0.84358,0.81137,0.67545,1.34923,1.15848,1.84835,0.000551584,0.000551584,0.000551584
49,4074.22,1.48742,1.46468,1.93697,0.75385,0.82757,0.81404,0.68364,1.31504,1.12529,1.83291,0.000536081,0.000536081,0.000536081
50,4157,1.48687,1.46433,1.93601,0.7284,0.83039,0.79779,0.66541,1.32958,1.15492,1.83805,0.000520548,0.000520548,0.000520548
51,4239.36,1.51388,1.49999,1.95058,0.76649,0.84363,0.81954,0.68639,1.33052,1.11151,1.83509,0.000505,0.000505,0.000505
52,4322.16,1.48333,1.44381,1.93564,0.78728,0.81502,0.82363,0.68699,1.3363,1.09569,1.84146,0.000489452,0.000489452,0.000489452
53,4404.62,1.47274,1.431,1.92742,0.74746,0.84689,0.82558,0.69093,1.32773,1.09368,1.83575,0.000473919,0.000473919,0.000473919
54,4487.11,1.47094,1.39319,1.91792,0.7558,0.85647,0.82746,0.69405,1.31159,1.08709,1.83047,0.000458416,0.000458416,0.000458416
55,4569.32,1.46191,1.40261,1.92589,0.75034,0.86054,0.82257,0.68925,1.3059,1.08336,1.82992,0.00044296,0.00044296,0.00044296
56,4652.87,1.47215,1.38449,1.92829,0.76193,0.86279,0.82391,0.68893,1.32354,1.07994,1.83398,0.000427565,0.000427565,0.000427565
57,4737.36,1.45373,1.35533,1.91648,0.76085,0.8474,0.83511,0.69948,1.3253,1.06687,1.83177,0.000412246,0.000412246,0.000412246
58,4820.11,1.43147,1.35673,1.92046,0.77035,0.84211,0.82838,0.69687,1.30939,1.07367,1.82957,0.000397019,0.000397019,0.000397019
59,4903.18,1.43331,1.35718,1.91749,0.75432,0.87506,0.8294,0.69653,1.31333,1.05301,1.831,0.000381899,0.000381899,0.000381899
60,4986.19,1.44034,1.36203,1.91111,0.76119,0.85019,0.81957,0.688,1.31028,1.05578,1.82994,0.000366899,0.000366899,0.000366899
